"Label (Grouping)","Atlanta city, Georgia!!Estimate"
"Total:","472,506"
"    Not Hispanic or Latino:","449,408"
"        White alone","178,077"
"        Black or African American alone","237,590"
"        American Indian and Alaska Native alone","951"
"        Asian alone","20,253"
"        Native Hawaiian and Other Pacific Islander alone","170"
"        Some other race alone","481"
"        Two or more races:","11,886"
"            Two races including Some other race","1,236"
"            Two races excluding Some other race, and three or more races","10,650"
"    Hispanic or Latino:","23,098"
"        White alone","12,815"
"        Black or African American alone","2,612"
"        American Indian and Alaska Native alone","1,944"
"        Asian alone","197"
"        Native Hawaiian and Other Pacific Islander alone","39"
"        Some other race alone","3,482"
"        Two or more races:","2,009"
"            Two races including Some other race","578"
"            Two races excluding Some other race, and three or more races","1,431"
